"CountName","Date","State","Lat","Lng","ScientificName","NumSeen","Parties","Party_Hours"
"ElDoradoNatureCenterCA",2009-06-27,"CA",33.8095,-118.0869,"Danaus plexippus",11,"1",4.5
"ElDoradoNatureCenterCA",2010-06-26,"CA",33.8095,-118.0869,"Danaus plexippus",14,"2",5
"ElDoradoNatureCenterCA",2011-06-25,"CA",33.8095,-118.0869,"Danaus plexippus",2,"1",5
"ElDoradoNatureCenterCA",2013-07-13,"CA",33.8095,-118.0869,"Danaus plexippus",13,"1",4.5
"ElDoradoNatureCenterCA",2014-07-12,"CA",33.8095,-118.0869,"Danaus plexippus",3,"1",5
"ElDoradoNatureCenterCA",2015-07-11,"CA",33.8095,-118.0869,"Danaus plexippus",1,"1",5
"ElDoradoNatureCenterCA",2017-07-08,"CA",33.8095,-118.0869,"Danaus plexippus",3,"2",6
"FortCollinsCO",1984-07-08,"CO",40.57,-105.08,"Danaus plexippus",2,"3",19.1
"FortCollinsCO",1985-06-23,"CO",40.57,-105.08,"Danaus plexippus",7,"4",20.5
"FortCollinsCO",1986-06-21,"CO",40.57,-105.08,"Danaus plexippus",1,"4",23
"FortCollinsCO",1987-06-14,"CO",40.57,-105.08,"Danaus plexippus",2,"3",17
"FortCollinsCO",1989-06-24,"CO",40.57,-105.08,"Danaus plexippus",1,"5",17.5
"FortCollinsCO",1990-06-30,"CO",40.57,-105.08,"Danaus plexippus",5,"4 to 5",32
"FortCollinsCO",1991-06-22,"CO",40.57,-105.08,"Danaus plexippus",3,"4",18
"FortCollinsCO",1992-06-21,"CO",40.57,-105.08,"Danaus plexippus",8,"5",20
"FortCollinsCO",1993-06-26,"CO",40.57,-105.08,"Danaus plexippus",1,"3",10.5
"FortCollinsCO",1994-06-25,"CO",40.57,-105.08,"Danaus plexippus",6,"2",15
"FortCollinsCO",1997-06-29,"CO",40.57,-105.08,"Danaus plexippus",26,"4",31.5
"FortCollinsCO",1999-07-06,"CO",40.57,-105.08,"Danaus plexippus",2,"2",11.5
"GiantSequoiaNationalMonumentSouth",2003-07-06,"CA",36,-118.4833,"Danaus plexippus",5,"5",42.3
"GiantSequoiaNationalMonumentSouth",2004-07-04,"CA",36,-118.4833,"Danaus plexippus",23,"4",30.3
"GiantSequoiaNationalMonumentSouth",2005-07-03,"CA",36,-118.4833,"Danaus plexippus",12,"6",28.5
"GiantSequoiaNationalMonumentSouth",2006-07-02,"CA",36,-118.4833,"Danaus plexippus",6,"3",21
"GiantSequoiaNationalMonumentSouth",2007-07-01,"CA",36,-118.4833,"Danaus plexippus",4,"4",26
"GiantSequoiaNationalMonumentSouth",2008-06-30,"CA",36,-118.4833,"Danaus plexippus",13,"4",29
"GiantSequoiaNationalMonumentSouth",2009-07-05,"CA",36,-118.4833,"Danaus plexippus",6,"3",21
"GiantSequoiaNationalMonumentSouth",2011-07-03,"CA",36,-118.4833,"Danaus plexippus",5,"2",18
"GiantSequoiaNationalMonumentSouth",2012-07-01,"CA",36,-118.4833,"Danaus plexippus",6,"2",18
"GiantSequoiaNationalMonumentSouth",2013-06-30,"CA",36,-118.4833,"Danaus plexippus",4,"3",26.5
"GiantSequoiaNationalMonumentSouth",2014-06-29,"CA",36,-118.4833,"Danaus plexippus",15,"5",22
"GiantSequoiaNationalMonumentSouth",2015-06-28,"CA",36,-118.4833,"Danaus plexippus",2,"2",18
"GiantSequoiaNationalMonumentSouth",2016-07-03,"CA",36,-118.4833,"Danaus plexippus",41,"3",19
"GilpinCo",1977-06-19,"CO",39.8309,-105.4105,"Danaus plexippus",5,"4",22
"GilpinCo",1978-07-02,"CO",39.8309,-105.4105,"Danaus plexippus",12,"6",30
"GilpinCo",1980-07-13,"CO",39.8309,-105.4105,"Danaus plexippus",1,"8",20
"GilpinCo",1981-07-12,"CO",39.8309,-105.4105,"Danaus plexippus",7,"8",35
"GilpinCo",1982-07-03,"CO",39.8309,-105.4105,"Danaus plexippus",2,"3",27
"GilpinCo",1983-07-10,"CO",39.8309,-105.4105,"Danaus plexippus",1,"3",16
"GilpinCo",1984-07-15,"CO",39.8309,-105.4105,"Danaus plexippus",1,"5",23
"GilpinCo",1985-07-07,"CO",39.8309,-105.4105,"Danaus plexippus",8,"6",36
"GilpinCo",1986-07-12,"CO",39.8309,-105.4105,"Danaus plexippus",2,"3",19
"GilpinCo",1987-07-05,"CO",39.8309,-105.4105,"Danaus plexippus",7,"4",23
"GilpinCo",1988-07-03,"CO",39.8309,-105.4105,"Danaus plexippus",2,"5",27
"GilpinCo",1989-07-02,"CO",39.8309,-105.4105,"Danaus plexippus",7,"6",35
"GilpinCo",1990-07-08,"CO",39.8309,-105.4105,"Danaus plexippus",2,"6",26
"GilpinCo",1991-07-07,"CO",39.8309,-105.4105,"Danaus plexippus",6,"5",24
"GilpinCo",1992-07-05,"CO",39.8309,-105.4105,"Danaus plexippus",2,"4 to 5",27
"GilpinCo",1994-07-03,"CO",39.8309,-105.4105,"Danaus plexippus",4,"7",44
"GilpinCo",1997-07-06,"CO",39.8309,-105.4105,"Danaus plexippus",10,"7",43
"GilpinCo",1998-07-05,"CO",39.8309,-105.4105,"Danaus plexippus",1,"9",52
"GilpinCo",1999-07-04,"CO",39.8309,-105.4105,"Danaus plexippus",1,"10",66
"GilpinCo",2001-07-08,"CO",39.8309,-105.4105,"Danaus plexippus",9,"11",55
"GilpinCo",2003-07-06,"CO",39.8309,-105.4105,"Danaus plexippus",2,"8",38
"GilpinCo",2005-07-10,"CO",39.8309,-105.4105,"Danaus plexippus",1,"7",45
"GilpinCo",2007-07-08,"CO",39.8309,-105.4105,"Danaus plexippus",3,"4",24
"GilpinCo",2010-07-04,"CO",39.8309,-105.4105,"Danaus plexippus",1,"5",20
"GilpinCo",2012-07-01,"CO",39.8309,-105.4105,"Danaus plexippus",1,"5",40
"GilpinCo",2014-07-06,"CO",39.8309,-105.4105,"Danaus plexippus",1,"4",32
"GilpinCo",2015-07-12,"CO",39.8309,-105.4105,"Danaus plexippus",2,"5",25
"GilpinCo",2016-07-06,"CO",39.8482,-105.4001,"Danaus plexippus",1,"6",26
"GilpinCo",2018-07-01,"CO",39.8482,-105.4001,"Danaus plexippus",1,"5",22
"GilpinCounty(uppercircle)CO",1989-07-02,"CO",39.92,-105.58,"Danaus plexippus",4,"5",14.5
"GilpinCounty(uppercircle)CO",1994-07-03,"CO",39.92,-105.58,"Danaus plexippus",1,"4",16
"GilpinCounty(uppercircle)COsplit",1979-07-22,"CO",39.97,-105.5,"Danaus plexippus",4,"2",9
"GlassMountain",2017-07-27,"CA",37.784,-118.777,"Danaus plexippus",5,"5",32.5
"GoodingCityofRocksID",2005-07-24,"ID",43.1689,-114.6588,"Danaus plexippus",1,"1",6.5
"GoodingCityofRocksID",2007-07-02,"ID",43.1689,-114.6588,"Danaus plexippus",2,"2",15
"GoodingCityofRocksNationalReserve",2007-07-18,"ID",42.0594,-113.6803,"Danaus plexippus",8,"unk",7
"GrandCanyonSouthRim",2014-09-06,"AZ",35.989,-112.1221,"Danaus plexippus",29,"7",26.5
"GrandCanyonSouthRim",2015-06-14,"AZ",35.989,-112.1221,"Danaus plexippus",1,"1",6
"GrandCanyonSouthRim",2015-08-16,"AZ",35.989,-112.1221,"Danaus plexippus",67,"4",6
